,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,Employee_status,gender,age,marital_status_maried(Y/N),number_of_dependences,number_of_dependences (male),number_of_dependences (female),Education_level,GPA,year_graduated,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Best Performance,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3
35,JG04,1.33,PG03,1.33,0.0,RM_type_A,Permanent,Male,1985,Y,0,0,0,level_4,0.0,2010,5.0,5,4,5,0,0,0,0,72.42,72.28,0.0,6,7,2
36,JG04,1.5,PG03,1.5,2.33,RM_type_A,Permanent,Male,1990,N,0,0,0,level_3,3.21,2011,5.0,5,3,2,0,5,2,0,56.04333333333333,50.46,0.0,7,7,3
37,JG04,1.83,PG03,1.83,2.0,RM_type_A,Permanent,Male,1984,N,0,0,0,level_3,2.95,2008,5.0,5,2,3,0,0,0,0,78.96333333333334,58.59,2.0,7,7,3
38,JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1986,Y,2,1,1,level_4,2.99,2011,5.0,5,3,4,0,6,0,0,72.82666666666667,93.84,1.0,5,7,3
39,JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1984,Y,1,0,1,level_4,3.1,2008,5.0,5,3,3,0,4,0,0,85.87,109.56,1.0,5,8,2
40,JG04,1.67,PG03,1.67,1.08,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_1,7.28,2007,4.0,4,4,3,0,0,1,0,48.28666666666667,47.68,0.0,7,7,3
41,JG04,1.5,PG03,1.5,1.5,RM_type_A,Permanent,Male,1988,Y,2,0,2,,,,4.0,4,3,3,0,6,6,0,71.72333333333334,74.92,0.0,6,7,3
42,JG04,1.83,PG03,1.83,0.33,RM_type_A,Permanent,Male,1987,Y,1,0,1,,,,4.0,4,3,3,1,6,1,0,72.17,87.05,1.0,6,6,3
43,JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Male,1986,N,0,0,0,,,,4.0,4,2,2,0,3,0,0,77.65666666666667,77.87,0.0,7,7,3
44,JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1992,Y,1,0,1,,,,4.0,4,3,2,0,4,9,0,76.13333333333334,89.38,1.0,6,7,3
45,JG04,1.5,PG03,1.5,1.5,RM_type_B,Permanent,Male,1991,Y,1,1,0,,,,4.0,4,2,2,0,5,0,0,56.36666666666667,64.52,0.0,6,7,3
46,JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1989,Y,1,1,0,level_4,0.0,2012,4.0,4,3,3,2,3,0,1,80.55666666666667,86.92,1.0,5,7,2
47,JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_4,3.41,2012,3.0,3,2,3,0,4,0,0,73.47333333333334,73.44,0.0,6,7,3
48,JG04,1.75,PG03,1.75,1.5,RM_type_B,Permanent,Male,1987,Y,1,0,1,level_4,3.19,2012,3.0,3,2,2,0,5,0,1,96.96999999999998,97.85,3.0,6,5,3
49,JG04,1.58,PG03,1.58,1.5,RM_type_A,Permanent,Female,1985,Y,2,0,2,level_4,3.35,2008,3.0,3,3,3,0,1,0,1,44.6,55.81,0.0,6,7,3
50,JG04,1.42,PG03,1.42,0.0,RM_type_B,Permanent,Male,1988,Y,1,1,0,level_4,3.0,2014,3.0,3,1,2,0,10,0,0,22.29333333333333,40.04,0.0,7,7,3
51,JG04,0.5,PG03,0.5,2.33,RM_type_B,Permanent,Male,1991,N,0,0,0,level_4,3.41,2013,2.0,2,1,2,0,0,0,0,65.89,76.76,0.0,6,7,3
52,JG04,1.58,PG03,1.58,1.5,RM_type_A,Permanent,Male,1991,N,0,0,0,level_4,0.0,2014,3.0,3,3,3,0,0,0,0,39.11,65.22,0.0,6,6,3
53,JG04,1.5,PG03,1.5,1.92,RM_type_B,Permanent,Male,1989,Y,1,1,0,level_4,0.0,2013,2.0,2,1,2,0,1,1,0,20.0,20.0,0.0,9,9,0
54,JG04,2.0,PG03,2.0,0.92,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0.0,2009,6.0,6,2,3,1,2,0,0,85.76333333333334,82.31,1.0,6,7,3
55,JG04,2.08,PG04,0.0,2.5,RM_type_A,Permanent,Male,1988,Y,1,0,1,level_4,3.34,2011,5.0,5,2,2,4,7,0,0,76.76333333333334,77.01,0.0,8,7,3
56,JG05,6.58,PG06,5.33,3.17,RM_type_C,Permanent,Female,1970,Y,1,0,1,level_1,0.0,1989,28.0,28,10,9,6,2,1,0,26.89,40.73,0.0,7,7,3
57,JG05,6.0,PG06,4.0,0.5,RM_type_A,Permanent,Female,1970,Y,2,1,1,level_3,3.02,1992,26.0,26,7,10,2,5,0,1,16.6,20.1,0.0,7,7,3
58,JG04,1.58,PG03,1.58,1.5,RM_type_B,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,3,2,0,9,6,1,111.95666666666666,110.63,3.0,5,8,3
59,JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,Y,0,0,0,level_4,3.22,0,,1,1,1,0,0,0,0,,,,9,9,0
60,JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,2,1,1,level_4,0.0,2010,7.0,7,5,4,1,5,0,0,57.71666666666667,67.51,0.0,8,7,1
61,JG04,2.58,PG03,2.58,2.17,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,7.0,7,4,5,8,5,0,0,101.74333333333334,120.02,2.0,6,8,3
62,JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,4,4,6,4,0,0,50.79,48.42,1.0,7,6,3
63,JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Male,1988,Y,1,1,0,,,,5.0,5,3,3,0,10,1,1,75.7,80.87,0.0,6,7,3
64,JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,4.0,4,2,2,0,7,0,0,114.69333333333331,117.57,3.0,8,8,1
65,JG04,1.83,PG03,1.83,0.75,RM_type_C,Permanent,Male,1988,Y,0,0,0,level_4,3.12,2013,6.0,6,5,4,5,7,0,0,70.61666666666666,57.28,1.0,7,7,3
66,JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,4.0,4,3,2,0,6,4,0,102.77666666666669,106.56,3.0,6,8,3
67,JG03,0.83,PG01,0.83,0.83,RM_type_B,Contract,Male,1990,N,0,0,0,level_4,3.1,0,,1,1,1,0,0,0,0,,,,9,9,0
68,JG04,1.75,PG03,1.75,0.0,RM_type_B,Permanent,Male,1986,Y,0,0,0,,,,7.0,7,7,8,7,0,0,0,87.81666666666666,97.88,1.0,8,8,1
69,JG04,2.67,PG03,2.67,0.42,RM_type_C,Permanent,Male,1986,Y,1,1,0,,,,6.0,6,4,6,10,3,0,1,91.61,90.62,3.0,6,7,3
70,JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1986,Y,2,2,0,,,,5.0,5,3,2,2,3,0,1,84.78333333333333,84.09,2.0,5,8,1
71,JG04,1.17,PG03,1.17,0.5,RM_type_A,Permanent,Male,1988,Y,0,0,0,level_3,0.0,0,2.0,2,2,3,0,0,0,0,,,,9,9,0
72,JG04,1.75,PG03,1.75,2.33,RM_type_A,Permanent,Male,1985,Y,2,2,0,,,,6.0,6,2,4,2,10,0,0,89.52999999999999,86.78,2.0,7,8,3
73,JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1986,Y,2,1,1,,,,6.0,6,4,5,0,3,0,0,106.17333333333332,104.42,3.0,6,8,1
74,JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,,,,4.0,4,4,3,0,5,1,0,57.85666666666666,61.3,0.0,5,7,1
75,JG03,0.83,PG01,0.83,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,3.27,0,,1,2,1,0,0,0,0,,,,9,9,0
76,JG04,1.58,PG03,1.58,0.5,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6.0,6,4,4,10,0,0,0,76.10666666666667,104.36,1.0,6,5,3
77,JG04,1.75,PG03,1.75,1.5,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,4.0,4,2,4,0,7,0,0,100.35333333333335,103.68,3.0,5,8,1
78,JG04,1.75,PG03,1.75,0.5,RM_type_A,Permanent,Male,1992,N,0,0,0,,,,4.0,4,3,5,0,3,0,0,78.70333333333333,83.28,1.0,6,8,1
79,JG04,1.75,PG03,1.75,0.92,RM_type_B,Permanent,Male,1986,Y,1,0,1,,,,6.0,6,3,3,1,5,1,0,88.95333333333332,105.51,2.0,6,8,3
80,JG04,1.58,PG03,1.58,0.67,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,5,2,0,9,0,0,38.01,33.54,0.0,6,7,3
81,JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1992,N,0,0,0,level_4,0.0,0,3.0,3,2,3,4,4,2,1,35.34333333333333,46.8,0.0,7,8,3
82,JG03,0.75,PG01,0.75,0.67,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,0.0,0,,1,2,1,0,0,0,0,,,,9,9,0
83,JG03,0.0,PG01,0.0,0.0,RM_type_B,Contract,Male,1993,N,0,0,0,level_4,0.0,0,,1,1,1,0,0,0,0,,,,9,9,0
84,JG05,0.25,PG05,0.25,0.42,RM_type_A,Permanent,Male,1975,Y,2,1,1,level_4,3.28,2000,18.0,18,12,11,13,5,0,1,54.23666666666666,75.38,0.0,8,7,3
85,JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Female,1987,Y,2,1,1,,,,4.0,4,2,2,0,5,0,1,13.0,13.0,0.0,4,4,1
86,JG04,1.17,PG03,1.17,1.5,RM_type_A,Permanent,Male,1989,Y,2,1,1,level_3,0.0,0,2.0,2,1,2,0,0,1,0,,,,9,9,0
87,JG04,0.75,PG03,0.75,0.92,RM_type_B,Permanent,Male,1989,Y,1,0,1,level_3,0.0,0,1.0,1,2,4,0,0,0,0,,,,9,9,0
88,JG04,1.83,PG03,1.83,3.42,RM_type_B,Permanent,Male,1990,Y,1,1,0,,,,7.0,7,3,3,3,0,1,0,46.973333333333336,43.55,0.0,5,7,1
89,JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1986,Y,2,2,0,,,,4.0,4,2,5,4,0,1,0,112.78333333333332,115.45,3.0,6,8,1
90,JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,4.0,4,3,4,1,9,0,1,77.46333333333331,88.79,1.0,6,6,1
91,JG05,5.0,PG06,3.0,3.17,RM_type_C,Permanent,Female,1971,Y,2,1,1,level_3,3.14,1994,22.0,22,9,7,4,4,0,1,25.495,37.8,0.0,7,7,1
92,JG04,1.83,PG03,1.83,0.92,RM_type_A,Permanent,Male,1980,Y,0,0,0,,,,6.0,6,4,7,3,1,0,0,89.67,78.39,2.0,6,8,3
93,JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Male,1985,Y,1,1,0,,,,5.0,5,4,6,18,5,0,1,83.06333333333333,107.13,2.0,7,8,3
94,JG04,1.83,PG03,1.83,1.5,RM_type_B,Permanent,Female,1992,N,0,0,0,level_3,0.0,0,3.0,3,2,3,1,7,3,1,63.3,63.62,0.0,8,7,1
95,JG03,0.75,PG01,0.75,0.75,RM_type_B,Contract,Male,1991,N,0,0,0,level_3,0.0,0,,1,1,1,0,0,0,0,,,,9,9,0
96,JG05,6.58,PG06,5.33,0.75,RM_type_A,Permanent,Female,1966,Y,4,1,3,level_3,3.08,1997,29.0,29,6,10,0,14,0,0,,,,9,9,0
97,JG05,6.0,PG06,4.0,0.5,RM_type_A,Permanent,Female,1974,Y,2,0,2,level_1,48.61,1993,25.0,25,5,8,2,0,3,0,74.43333333333334,110.98,2.0,5,6,3
98,JG04,2.67,PG03,2.67,1.5,RM_type_C,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,3,5,13,9,0,0,81.7,103.75,2.0,6,8,3
99,JG04,1.58,PG03,1.58,2.83,RM_type_A,Permanent,Male,1986,Y,0,0,0,,,,6.0,6,3,4,0,16,0,0,96.07666666666668,94.94,3.0,5,6,3
100,JG04,1.83,PG03,1.83,4.0,RM_type_B,Permanent,Male,1988,Y,0,0,0,,,,4.0,4,1,2,0,3,0,0,69.04333333333334,95.54,2.0,5,7,3
101,JG04,1.83,PG03,1.83,0.5,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0.0,0,3.0,3,4,3,1,8,2,0,89.14666666666666,79.35,1.0,7,6,3
102,JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1990,Y,1,0,1,,,,4.0,4,3,4,1,3,0,1,107.78666666666668,112.09,3.0,7,8,3
103,JG04,1.83,PG03,1.83,0.42,RM_type_B,Permanent,Male,1990,Y,0,0,0,level_4,0.0,0,3.0,3,4,3,0,4,1,0,69.76333333333334,83.1,0.0,6,7,3
104,JG03,0.58,PG01,0.58,0.58,RM_type_B,Contract,Male,1992,N,0,0,0,level_3,0.0,0,,1,1,1,0,0,0,0,,,,9,9,0
105,JG05,7.25,PG06,4.5,0.17,RM_type_A,Permanent,Male,1968,Y,3,3,0,level_4,2.93,1995,22.0,22,12,8,7,5,0,0,43.33666666666666,43.72,0.0,6,7,1
106,JG04,2.83,PG03,2.83,0.17,RM_type_C,Permanent,Male,1987,N,0,0,0,,,,7.0,7,4,4,10,5,2,0,117.37666666666668,119.56,3.0,6,8,3
107,JG04,1.17,PG03,1.17,0.17,RM_type_B,Permanent,Male,1985,Y,2,0,2,,,,6.0,6,7,3,2,3,0,0,97.57,103.11,3.0,5,5,1
108,JG04,1.58,PG03,1.58,0.17,RM_type_B,Permanent,Male,1987,Y,1,1,0,,,,6.0,6,4,2,0,4,0,0,50.12000000000001,71.17,0.0,8,7,3
109,JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Female,1989,Y,1,1,0,,,,5.0,5,3,2,1,0,4,1,62.18333333333334,65.12,0.0,6,7,3
110,JG04,1.75,PG03,1.75,0.17,RM_type_A,Permanent,Female,1993,Y,0,0,0,level_4,0.0,0,3.0,3,4,4,0,5,8,0,118.62666666666668,121.3,3.0,5,8,3
111,JG04,1.83,PG03,1.83,0.17,RM_type_B,Permanent,Male,1990,Y,1,1,0,level_4,0.0,0,2.0,2,2,2,1,8,0,0,25.403333333333336,49.77,0.0,6,7,3
112,JG04,1.17,PG03,1.17,0.17,RM_type_A,Permanent,Female,1987,N,0,0,0,level_4,0.0,0,2.0,2,2,3,1,0,0,0,,,,9,9,0
113,JG03,0.83,PG01,0.83,0.17,RM_type_B,Contract,Male,1989,N,0,0,0,level_4,3.02,0,,1,2,1,0,0,0,0,,,,9,9,0
114,JG03,0.58,PG01,0.58,0.17,RM_type_B,Contract,Male,1991,N,0,0,0,level_4,0.0,0,,1,2,1,0,0,0,0,,,,9,9,0
115,JG04,1.58,PG03,1.58,0.17,RM_type_A,Permanent,Male,1990,Y,1,1,0,,,,4.0,4,4,3,2,8,3,0,83.89666666666666,81.39,1.0,6,7,1
116,JG04,1.83,PG03,1.83,0.25,RM_type_B,Permanent,Male,1989,N,0,0,0,level_4,0.0,0,3.0,3,3,2,0,3,0,1,106.33,105.73,3.0,6,8,3
117,JG04,1.17,PG03,1.17,0.92,RM_type_A,Permanent,Male,1989,Y,1,0,1,level_4,0.0,0,2.0,2,2,3,0,5,0,0,51.27333333333333,127.74,1.0,8,8,3
118,JG05,4.5,PG06,2.5,3.17,RM_type_C,Permanent,Female,1982,Y,2,1,1,level_4,0.0,2004,13.0,13,8,10,0,1,1,0,25.880000000000006,38.71,0.0,8,4,1
119,JG04,1.67,PG03,1.67,0.5,RM_type_A,Permanent,Female,1984,Y,0,0,0,level_3,3.27,2006,7.0,7,5,5,3,1,0,0,46.54666666666666,48.62,0.0,5,7,3
120,JG04,1.75,PG03,1.75,2.08,RM_type_B,Permanent,Male,1989,Y,2,2,0,,,,5.0,5,3,2,1,6,0,0,77.02666666666667,49.45,1.0,6,7,3
121,JG04,1.83,PG03,1.83,1.75,RM_type_B,Permanent,Male,1989,Y,1,0,1,,,,4.0,4,2,4,0,1,0,0,96.1,100.37,3.0,6,5,3
122,JG04,1.83,PG03,1.83,0.25,RM_type_B,Permanent,Male,1989,Y,1,1,0,,,,5.0,5,7,5,2,6,0,0,57.69333333333333,53.0,0.0,5,7,3
123,JG04,1.75,PG03,1.75,0.25,RM_type_A,Permanent,Male,1989,Y,1,0,1,,,,5.0,5,3,3,5,10,0,0,89.96333333333332,108.39,2.0,8,6,3
124,JG05,8.0,PG06,5.33,0.5,RM_type_A,Permanent,Male,1968,Y,3,2,1,level_4,0.0,\N,23.0,23,10,8,13,4,0,1,23.173333333333336,23.23,0.0,6,4,1
125,JG04,1.75,PG03,1.75,0.83,RM_type_A,Permanent,Male,1985,Y,1,1,0,,,,5.0,5,3,3,1,8,0,0,108.68666666666668,113.42,3.0,8,8,3
126,JG04,1.83,PG03,1.83,1.92,RM_type_B,Permanent,Male,1986,Y,0,0,0,,,,5.0,5,3,2,7,3,0,1,26.236666666666668,25.25,0.0,4,4,3
127,JG03,0.58,PG01,0.58,0.5,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,3.23,0,,1,2,1,0,0,0,0,,,,9,9,0
128,JG04,1.58,PG03,1.58,1.5,RM_type_B,Permanent,Female,1988,Y,1,1,0,,,,5.0,5,2,2,0,4,1,0,71.66000000000003,73.26,0.0,6,7,3
129,JG04,1.67,PG03,1.67,0.92,RM_type_A,Permanent,Male,1986,Y,1,0,1,level_4,0.0,0,3.0,3,4,3,0,3,7,0,59.26333333333334,60.26,0.0,6,7,3
130,JG04,1.17,PG03,1.17,0.5,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_3,0.0,0,2.0,2,2,3,1,0,0,0,,,,9,9,0
131,JG04,2.67,PG03,2.67,0.92,RM_type_B,Permanent,Male,1982,Y,2,0,2,level_4,2.74,2015,7.0,7,5,4,3,8,0,0,44.15333333333334,49.65,0.0,5,7,3
132,JG04,1.83,PG03,1.83,2.33,RM_type_B,Permanent,Male,1988,Y,2,1,1,,,,5.0,5,3,4,5,6,1,0,67.13,91.3,2.0,5,5,3
133,JG04,1.75,PG03,1.75,0.42,RM_type_A,Permanent,Male,1988,N,0,0,0,,,,4.0,4,5,3,0,2,0,1,31.97666666666667,13.41,0.0,9,9,0
134,JG04,1.75,PG03,1.75,1.83,RM_type_B,Permanent,Male,1983,Y,2,2,0,level_4,3.25,2006,5.0,5,3,2,2,0,0,0,79.74666666666667,64.42,1.0,7,7,3
135,JG04,1.83,PG03,1.83,0.0,RM_type_A,Permanent,Male,1987,Y,1,0,1,,,,4.0,4,5,5,3,5,6,1,102.08333333333331,106.48,2.0,5,7,1
136,JG03,0.75,PG01,0.75,0.67,RM_type_B,Contract,Male,1994,N,0,0,0,level_3,0.0,0,,1,2,1,0,0,0,0,,,,9,9,0
137,JG04,2.83,PG03,2.83,2.67,RM_type_C,Permanent,Male,1985,N,0,0,0,level_4,3.29,2008,7.0,7,4,4,6,4,1,0,68.97333333333334,76.53,0.0,6,6,3
138,JG04,1.83,PG03,1.83,1.42,RM_type_B,Permanent,Male,1985,N,0,0,0,level_3,2.8,2007,6.0,6,4,4,0,4,14,0,71.56666666666666,73.66,0.0,5,7,1
139,JG04,1.75,PG03,1.75,1.83,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_4,3.47,2012,5.0,5,2,2,0,5,1,0,77.92999999999998,65.6,1.0,6,7,1
140,JG04,1.75,PG03,1.75,1.42,RM_type_B,Permanent,Male,1991,Y,1,0,1,,,,4.0,4,3,3,0,6,0,0,66.43333333333334,72.49,0.0,6,7,1
141,JG04,2.83,PG03,2.83,1.0,RM_type_A,Permanent,Male,1986,Y,2,1,1,level_4,3.06,2009,7.0,7,3,4,8,5,3,0,45.53333333333333,56.23,0.0,6,7,3
142,JG04,2.67,PG03,2.67,0.0,RM_type_A,Permanent,Male,1988,N,0,0,0,level_3,2.63,2009,6.0,6,4,4,5,5,8,0,49.3,54.97,0.0,6,7,3
143,JG04,1.83,PG03,1.83,1.42,RM_type_B,Permanent,Male,1982,Y,2,2,0,level_4,2.9,2008,5.0,5,3,2,0,7,2,0,55.41333333333333,49.64,0.0,7,7,3
